epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
49,44900,0.913397539328,56.5876378239,81.3581777914,0.367175,0.407098,False
49,44900,0.918580321321,79.3282749286,82.5371431011,0.35689,0.404195,False
49,44900,0.915646579226,69.4228484257,85.5702166988,0.385489,0.414105,False
49,44900,0.918396692151,70.4402191989,87.8926024976,0.363372,0.399292,False
49,44900,0.917477396049,66.0479790896,81.1597118814,0.357825,0.40423,False
49,44900,0.915235643735,57.8214211464,75.0620343897,0.362365,0.404705,False
49,44900,0.911715676397,44.4818294204,83.4851096979,0.371953,0.413156,False
49,44900,0.913342615197,48.7073894656,75.1294135077,0.372248,0.420372,False
49,44900,0.917094480573,73.3657742476,81.8642696032,0.381499,0.412791,False
49,44900,0.918073342975,72.6770267374,76.6559516685,0.355982,0.399299,False
49,44900,0.913565883311,57.5335760947,61.6946457337,0.369458,0.407367,False
49,44900,0.918031947547,81.4516166614,86.3372212081,0.359802,0.398446,False
49,44900,0.91700862808,76.767105144,76.767105144,0.36937,0.404609,True
49,44900,0.916114856617,61.2270699543,87.9488557131,0.365949,0.403623,False
49,44900,0.913626525685,57.0003675496,87.8737685159,0.368353,0.406294,False
49,44900,0.918588754265,65.2336436558,81.8436731388,0.357195,0.400476,False
49,44900,0.914888326391,51.9951400932,85.3244687785,0.363977,0.402836,False
49,44900,0.91721444259,64.7822243472,68.7869008196,0.357717,0.400181,False
49,44900,0.916201699298,68.2656990698,83.7032291431,0.359601,0.405585,False
49,44900,0.918321839095,77.3914852956,79.7391211295,0.357739,0.395033,False
