model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
21-15-17_0,49,44900,0.920717276031,68.2637641252,85.0621425263,0.351436,0.387266,False
21-15-32_0,49,44900,0.919036962115,83.4895354489,91.4738803992,0.35702,0.392136,False
21-18-29_0,49,44900,0.920200403464,76.9876371405,91.1187885934,0.352663,0.380506,False
22-09-49_0,49,44900,0.920837873228,82.9981742022,101.354602714,0.352062,0.393428,False
Oct-30-14-28-41_0,49,44900,0.918822359647,76.5116024152,83.3121004696,0.356454,0.398566,False
Oct-30-14-28-53_0,49,44900,0.918897391591,76.2626667903,83.689115661,0.35749,0.38715,False
model,epoch,iteration,roc_auc,inv_fpr,best_inv_fpr,valid_loss,train_loss,save
09-59-20_0,49,44900,0.913142742253,66.6343568637,74.873477986,0.37876,0.414373,False
11-27-45_0,49,44900,0.920089134974,71.9151687453,90.5747346526,0.353947,0.386748,False
11-28-14_0,49,44900,0.918230221822,77.7821194475,80.0251767569,0.360554,0.408176,False
11-28-44_0,49,44900,0.9213179534,72.5147828356,87.2833911001,0.349967,0.386456,False
11-29-15_0,49,44900,0.919486114125,67.0182528713,93.1600171872,0.354983,0.383561,False
11-57-28,67,23800,0.921233932322,82.5614556615,102.313431779,0.349797,0.366427,False
11-57-57,64,22750,0.921501801012,84.3287714684,102.643299999,0.354383,0.368085,False
11-58-27,63,22400,0.921527865024,96.7476596095,100.507017221,0.351503,0.366361,False
11-58-57,66,23450,0.921077161386,89.4914648541,112.695492819,0.350762,0.369145,False
15-08-52_0,49,44900,0.921343376931,72.2193489652,103.442543515,0.354192,0.385185,False
15-09-23_0,49,44900,0.918450959489,71.3355358721,92.2108939407,0.358713,0.389098,False
15-09-33_0,49,44900,0.92121842496,91.8172350109,91.8172350109,0.353167,0.398105,True
15-09-43_0,49,44900,0.921533845839,83.6839836028,95.5470272682,0.349237,0.382951,False
15-10-15_0,49,44900,0.921918724056,89.8516690435,89.8516690435,0.348869,0.383505,True
15-10-24_0,49,44900,0.918746114336,66.5246044721,71.2163292507,0.366137,0.410862,False
15-27-30_0,49,44900,0.921290606362,83.0900094568,96.0857719258,0.354317,0.389649,False
15-27-38_0,49,44900,0.913607488855,66.1713966052,74.0206351637,0.375936,0.413645,False
15-27-46_0,49,44900,0.922403898085,93.1588662218,94.6554940009,0.347181,0.379951,False
15-28-01_0,49,44900,0.915673285019,69.1790133773,69.1790133773,0.362585,0.411943,True
15-36-41_0,49,44900,0.918523379422,72.1010642231,79.5919648191,0.355948,0.405133,False
15-36-52_0,49,44900,0.919671447574,71.5894462052,92.7036396061,0.353008,0.390264,False
19-05-29_0,49,44900,0.918056793171,65.9164897784,78.796142015,0.358947,0.41071,False
19-05-40_0,49,44900,0.921516420918,88.2601468889,100.344773562,0.348468,0.384894,False
19-09-21_0,49,44900,0.92008747599,76.8525622806,90.7560139312,0.353044,0.388322,False
19-09-27_0,49,44900,0.915107707602,59.6799848098,80.4142826923,0.364189,0.414382,False
21-14-17_0,49,44900,0.914090193512,63.7818251931,72.7225401469,0.367328,0.410928,False
21-14-31_0,49,44900,0.921714967123,79.9133196294,92.9948785564,0.351563,0.392905,False
21-15-17_0,49,44900,0.920717276031,68.2637641252,85.0621425263,0.351436,0.387266,False
21-15-32_0,49,44900,0.919036962115,83.4895354489,91.4738803992,0.35702,0.392136,False
21-18-29_0,49,44900,0.920200403464,76.9876371405,91.1187885934,0.352663,0.380506,False
22-09-49_0,49,44900,0.920837873228,82.9981742022,101.354602714,0.352062,0.393428,False
Oct-30-14-28-41_0,49,44900,0.918822359647,76.5116024152,83.3121004696,0.356454,0.398566,False
Oct-30-14-28-53_0,49,44900,0.918897391591,76.2626667903,83.689115661,0.35749,0.38715,False
